vocab_size,cit_as_vocab,target,text_span,max_docs,max_cit_count,klist,partition,n,model,features,n_svm,recall_1,recall_5,recall_20
29665,True,cit_idx,50,1000,10,1|5|20,1-6,152220,simple,,100,17.045723295230587,42.6639075022993,70.65497306530023
29665,True,cit_idx,50,1000,10,1|5|20,2-6,152570,simple,,100,17.3323720259553,42.9973127089205,70.97266828341088
29665,True,cit_idx,50,1000,10,1|5|20,3-6,152785,simple,,100,17.225512975750238,42.6998723696698,70.79098078999901
29665,True,cit_idx,50,1000,10,1|5|20,4-6,150595,simple,,100,17.262193299910354,42.84073176400279,70.79252299213121
29665,True,cit_idx,50,1000,10,1|5|20,5-6,152170,simple,,100,17.133469146349476,42.61746730630217,70.75179076033383
29665,True,cit_idx,50,1000,10,1|5|20,6-6,152985,simple,,100,17.275549890512142,43.07481125600549,70.91218093277118
29665,True,cit_idx,50,1000,10,1|5|20,1-6,152220,letor,year,100,16.960320588621734,41.077387991065564,69.60254894232033
29665,True,cit_idx,50,1000,10,1|5|20,2-6,152570,letor,year,100,17.213082519499245,41.41770990365078,69.84859408795963
29665,True,cit_idx,50,1000,10,1|5|20,3-6,152785,letor,year,100,17.185587590404815,41.11987433321334,69.599764374775
29665,True,cit_idx,50,1000,10,1|5|20,4-6,150595,letor,year,100,17.11610611242073,41.05049968458448,69.30044158172582
29665,True,cit_idx,50,1000,10,1|5|20,5-6,152170,letor,year,100,17.02569494644148,40.98442531379378,69.62870473812184
29665,True,cit_idx,50,1000,10,1|5|20,6-6,152985,letor,year,100,17.227832794064778,41.381834820407235,69.9937902408733
29665,True,cit_idx,50,1000,10,1|5|20,1-6,152220,letor,year|issarea,100,18.234134804887663,44.357508868742606,72.81171987912232
29665,True,cit_idx,50,1000,10,1|5|20,2-6,152570,letor,year|issarea,100,18.320770793734024,44.37504096480304,72.97699416661204
29665,True,cit_idx,50,1000,10,1|5|20,3-6,152785,letor,year|issarea,100,18.277972314036063,44.11100566155054,72.74143404129987
29665,True,cit_idx,50,1000,10,1|5|20,4-6,150595,letor,year|issarea,100,18.36979979414987,44.06122381221156,72.61263654171786
29665,True,cit_idx,50,1000,10,1|5|20,5-6,152170,letor,year|issarea,100,18.120523099165407,43.866070841821646,72.68778340014458
29665,True,cit_idx,50,1000,10,1|5|20,6-6,152985,letor,year|issarea,100,18.439062653201294,44.412850933098014,73.08363565055399
29665,True,cit_idx,50,1000,10,1|5|20,1-6,152220,letor,year|issarea|vlj,100,18.031139140717382,43.96005781106294,72.43069241886742
29665,True,cit_idx,50,1000,10,1|5|20,2-6,152570,letor,year|issarea|vlj,100,18.078914596578617,43.86707740709183,72.5686570098971
29665,True,cit_idx,50,1000,10,1|5|20,3-6,152785,letor,year|issarea|vlj,100,18.058709951893185,43.48659881532873,72.33039892659619
29665,True,cit_idx,50,1000,10,1|5|20,4-6,150595,letor,year|issarea|vlj,100,18.153989176267473,43.57581593014376,72.25073873634584
29665,True,cit_idx,50,1000,10,1|5|20,5-6,152170,letor,year|issarea|vlj,100,17.95163304199251,43.46060327265558,72.32963133337714
29665,True,cit_idx,50,1000,10,1|5|20,6-6,152985,letor,year|issarea|vlj,100,18.216818642350557,43.88273360133346,72.63980128770795
