vocab_size,cit_as_vocab,target,text_span,forecast_window,max_cit_count,klist,model,features,n_svm,partition,n,recall_5,recall_20
25000,True,cit_idx,50,1,10,5|20,simple,,100,1-6,276163,38.374800389624966,59.2229951152037
25000,True,cit_idx,50,1,10,5|20,simple,,100,2-6,277397,38.08008017390239,58.9339466540734
25000,True,cit_idx,50,1,10,5|20,simple,,100,3-6,278821,38.29589593323315,59.14654921975031
25000,True,cit_idx,50,1,10,5|20,simple,,100,4-6,273963,38.38803050046904,59.086445979931604
25000,True,cit_idx,50,1,10,5|20,simple,,100,5-6,272914,38.21973222333776,59.095539254124006
25000,True,cit_idx,50,1,10,5|20,simple,,100,6-6,275642,38.2434462092134,59.18909309901974
25000,True,cit_idx,50,1,10,5|20,letor,year,100,1-6,276163,39.3271365099597,67.69625185126176
25000,True,cit_idx,50,1,10,5|20,letor,year,100,2-6,277397,39.13416511353764,67.55949054964545
25000,True,cit_idx,50,1,10,5|20,letor,year,100,3-6,278821,39.20938523281962,67.68787143005727
25000,True,cit_idx,50,1,10,5|20,letor,year,100,4-6,273963,39.39437077269558,67.87887415453912
25000,True,cit_idx,50,1,10,5|20,letor,year,100,5-6,272914,39.23213906212214,67.6641725964956
25000,True,cit_idx,50,1,10,5|20,letor,year,100,6-6,275642,39.25925657193026,67.74874656257029
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea,100,1-6,276163,41.25100031503134,71.32056068336453
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea,100,2-6,277397,41.0671348284228,71.21345941015946
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea,100,3-6,278821,41.14539435695303,71.14779733233867
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea,100,4-6,273963,41.24863576468355,71.46950500615047
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea,100,5-6,272914,41.30348754552716,71.25248246700426
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea,100,6-6,275642,41.26548203829606,71.422714970868
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea|vlj,100,1-6,276163,40.83132063310436,70.7509695361073
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea|vlj,100,2-6,277397,40.54441828859,70.6460415938168
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea|vlj,100,3-6,278821,40.638258954669844,70.59547164668372
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea|vlj,100,4-6,273963,40.82011074488161,70.9289210586831
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea|vlj,100,5-6,272914,40.84803271360209,70.6728126809178
25000,True,cit_idx,50,1,10,5|20,letor,year|issarea|vlj,100,6-6,275642,40.73472112377649,70.8709122702636
