variable,index,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
case,f1-score,0.3732693646069329,0.38493711214120707,0.37748204478242503,0.37800676900761515,0.374105590348839,0.38229792411223484,0.37834980083320896,0.0041568251903105575
case,precision,0.48134428107695243,0.48760615102134497,0.4867504572162341,0.48876645957879106,0.4810827924647776,0.48802174335080567,0.485595314118151,0.0031558326046502326
case,recall,0.3048273193382993,0.31798338613515603,0.30827808857234396,0.3081717622132985,0.30605000125884335,0.314225,0.30992259291965685,0.004658606295502351
case,support,41348.0,40087.0,40577.0,40591.0,39719.0,40000.0,40387.0,530.2876577858474
code,f1-score,0.371312662996233,0.37518243913830346,0.3762249426622584,0.37073501451753155,0.3731543624161074,0.37766660233666366,0.3740460040111829,0.0025290584526961877
code,precision,0.3000655676283252,0.3021107559232794,0.305827946054575,0.2990323117525381,0.30398017203674005,0.30652818276019955,0.30292415602594286,0.0027843543311726992
code,recall,0.4869281045751634,0.49487910056984447,0.4887212226736313,0.4876696393951144,0.4830861909175162,0.4918032786885246,0.4888479228032991,0.0037282009675266257
code,support,26316.0,25972.0,25845.0,25790.0,25896.0,25864.0,25947.166666666668,173.84324036965663
reg,f1-score,0.4675748931788322,0.4629659492650251,0.4697939393939394,0.46644643009520564,0.47097626929559705,0.4692343364819018,0.46783196961841683,0.002625723418589396
reg,precision,0.4744541327376234,0.4785608042262912,0.47310856668538365,0.4737871771377628,0.4756306637276512,0.47731956203292203,0.4754768177579391,0.0019338963605954485
reg,recall,0.46089229046107894,0.44835539751567716,0.4665254339295602,0.45932968404878516,0.4664120854048082,0.46141845673826953,0.4604888913496965,0.006070644268038153
reg,support,42856.0,41621.0,41539.0,41652.0,41637.0,41665.0,41828.333333333336,461.3710244718693
all,f1-macro,0.4040523069273327,0.4076951668481785,0.40783364227954094,0.40506273787345076,0.4060787406868478,0.4097329543102668,0.4067425914876029,0.001894742661735638
