variable,index,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
case,f1-score,0.28533228200689076,0.29247690277166744,0.28786179830401576,0.2839337604593355,0.2822913303920514,0.29199859005992246,0.2873157773323139,0.003861809779424074
case,precision,0.48738068747438074,0.49387852133602755,0.4944922650936014,0.4883188824662813,0.4879409758819518,0.4923625557206538,0.4907289813288161,0.0029309581732366464
case,recall,0.2017110174009985,0.207755193879847,0.2030249857894867,0.20015795448936274,0.1985919402457796,0.20754102467743957,0.20313035274715238,0.0034713382826470148
case,support,41262.0,39999.0,40463.0,40518.0,39629.0,39915.0,40297.666666666664,530.4984029717295
code,f1-score,0.396741551581493,0.3994912902728534,0.3978611588010956,0.393864887015572,0.39984329089128307,0.4008624068992552,0.398110764243592,0.0023253515015042346
code,precision,0.2974747571147716,0.29895024225178807,0.29991503823279525,0.2955024595924104,0.3012693102430385,0.30177654488579353,0.2991480587200996,0.0021651161530445487
code,recall,0.595438221135478,0.6019278414369774,0.5908064767242721,0.5903825903825903,0.5942934782608695,0.5968250262635695,0.5949456057006262,0.0038924130298624068
code,support,26174.0,25832.0,25692.0,25641.0,25760.0,25701.0,25800.0,177.59786034747154
reg,f1-score,0.4719467985499244,0.46908849568603883,0.47578616738034185,0.4712933676295029,0.47581329561527586,0.4747589616810877,0.47311451442369523,0.002517085586776482
reg,precision,0.48374633954278123,0.4874430709173715,0.4821095556605416,0.481225495124158,0.4850909090909091,0.4870279729147118,0.4844405572084122,0.0023232483283045593
reg,recall,0.46070917996672056,0.45206603591426914,0.4696265077750327,0.4617629325937538,0.4668839005551533,0.4630929127782199,0.46235691159719156,0.005520451495074296
reg,support,42669.0,41432.0,41286.0,41465.0,41430.0,41469.0,41625.166666666664,470.8267256173502
all,f1-macro,0.3846735440461027,0.38701889624351987,0.3871697081618177,0.38303067170147015,0.3859826389662035,0.38920665288008843,0.38618035199986706,0.001960889497001267
