vocab_size,cit_as_vocab,target,text_span,max_docs,max_cit_count,klist,partition,n,model,features,n_svm,recall_1,recall_5,recall_20
29665,True,cit_idx,50,100,100,1|5|20,1-6,152855,simple,,100,16.806777665107457,42.900788328808346,68.98367734127115
29665,True,cit_idx,50,100,100,1|5|20,2-6,150658,simple,,100,17.027970635479033,43.445419426781186,69.31593410240411
29665,True,cit_idx,50,100,100,1|5|20,3-6,152532,simple,,100,17.057404347940107,43.20667138698765,69.07534156767105
29665,True,cit_idx,50,100,100,1|5|20,4-6,151461,simple,,100,17.09615016406864,43.30091574728808,69.1326480083982
29665,True,cit_idx,50,100,100,1|5|20,5-6,153232,simple,,100,17.35407747728934,43.47721102641746,69.64994257074241
29665,True,cit_idx,50,100,100,1|5|20,6-6,152587,simple,,100,17.10827265756585,43.25597855649564,69.18675902927511
29665,True,cit_idx,50,100,100,1|5|20,1-6,152855,letor,year,100,20.611690818095582,43.262569101436,75.24058748487128
29665,True,cit_idx,50,100,100,1|5|20,2-6,150658,letor,year,100,20.91027359980884,43.6717598799931,75.32623557992274
29665,True,cit_idx,50,100,100,1|5|20,3-6,152532,letor,year,100,20.90053234731073,43.47022264180631,75.25633965331865
29665,True,cit_idx,50,100,100,1|5|20,4-6,151461,letor,year,100,21.00738804048567,43.729408890737545,75.43526056212491
29665,True,cit_idx,50,100,100,1|5|20,5-6,153232,letor,year,100,21.209016393442624,44.24989558316801,75.93714106714002
29665,True,cit_idx,50,100,100,1|5|20,6-6,152587,letor,year,100,20.943461762797615,43.61511793272035,75.33669316521066
29665,True,cit_idx,50,100,100,1|5|20,1-6,152855,letor,year|issarea,100,22.121618527362532,46.91635864054169,78.53521311046417
29665,True,cit_idx,50,100,100,1|5|20,2-6,150658,letor,year|issarea,100,22.412351152942424,47.26931195157243,78.87400602689534
29665,True,cit_idx,50,100,100,1|5|20,3-6,152532,letor,year|issarea,100,22.39988985917709,47.186819814858524,78.65169275955209
29665,True,cit_idx,50,100,100,1|5|20,4-6,151461,letor,year|issarea,100,22.50480321666964,47.2590303774569,78.71069120103526
29665,True,cit_idx,50,100,100,1|5|20,5-6,153232,letor,year|issarea,100,22.6656311997494,47.55729873655633,78.95870314294665
29665,True,cit_idx,50,100,100,1|5|20,6-6,152587,letor,year|issarea,100,22.40819991218125,47.32185572820751,78.59188528511604
29665,True,cit_idx,50,100,100,1|5|20,1-6,152855,letor,year|issarea|vlj,100,21.79189427889176,47.73216446959537,78.70923424160152
29665,True,cit_idx,50,100,100,1|5|20,2-6,150658,letor,year|issarea|vlj,100,22.07649112559572,48.09568692004407,79.02932469566834
29665,True,cit_idx,50,100,100,1|5|20,3-6,152532,letor,year|issarea|vlj,100,22.08061259276742,47.99845278367818,78.89426481000707
29665,True,cit_idx,50,100,100,1|5|20,4-6,151461,letor,year|issarea|vlj,100,22.19119113171047,48.06913991060405,78.87773090102402
29665,True,cit_idx,50,100,100,1|5|20,5-6,153232,letor,year|issarea|vlj,100,22.316487417771743,48.2484076433121,79.20538790853085
29665,True,cit_idx,50,100,100,1|5|20,6-6,152587,letor,year|issarea|vlj,100,22.088382365470192,48.15547851389699,78.82453944307181
