variable,index,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
case,f1-score,0.2845731916352417,0.29170194750211687,0.2883906957162404,0.284281581485053,0.281851274050962,0.2914704066331481,0.28704484950379366,0.0037372759340984466
case,precision,0.4862062906343349,0.49538645895745953,0.49676678552003384,0.490590015128593,0.4868967226318072,0.49242966142107775,0.49137932238221776,0.003950993094951571
case,recall,0.20115346402694648,0.20671033551677584,0.20316863985763364,0.20012342631449026,0.19832937970019685,0.20699591570823625,0.20274686018737986,0.0032372045054450188
case,support,41267.0,39998.0,40459.0,40510.0,39626.0,39909.0,40294.833333333336,532.7086184981638
code,f1-score,0.3946590561614514,0.39715053556044183,0.39441393625686433,0.3920231183775481,0.39597368214107836,0.39856702055331833,0.3954645581751171,0.0020945623072661616
code,precision,0.2960810552475626,0.2972780472780473,0.29755981525165026,0.29418775031747585,0.2988091941290501,0.30008071978422224,0.29733276366800143,0.0018816455109263795
code,recall,0.5916418366567346,0.5980790829170055,0.5847454325893031,0.587354214611694,0.5867775015537601,0.593281693978436,0.5903132937178222,0.004530323043377438
code,support,26178.0,25821.0,25671.0,25637.0,25744.0,25691.0,25790.333333333332,183.02610621317265
reg,f1-score,0.4706376040093039,0.4681467784455078,0.4741404642962092,0.47109439343093507,0.4747617236853403,0.47292003904753666,0.4719501671524722,0.0022569832199846483
reg,precision,0.4818333578828497,0.4852369852369852,0.4792099792099792,0.48032285556725324,0.48260555126062993,0.48471339192988677,0.4823203535145974,0.002168574890154293
reg,recall,0.45995031871016123,0.4522194597986917,0.46917708636231464,0.46221386014424587,0.4671687910390112,0.46168693302451264,0.46206940817982284,0.005449800785293101
reg,support,42672.0,41429.0,41268.0,41457.0,41424.0,41448.0,41616.333333333336,476.3712371203319
all,f1-macro,0.38328995060199905,0.3856664205026888,0.38564836542310466,0.3824663644311787,0.3841955599591269,0.3876524887446677,0.3848198582771276,0.0017173713549838078
