vocab_size,cit_as_vocab,target,text_span,forecast_window,max_cit_count,klist,model,features,n_svm,partition,n,recall_5,recall_20
25000,True,cit_idx,50,1,10,5|20,simple,,200,1-6,252950,17.91737497529156,38.79857679383277
25000,True,cit_idx,50,1,10,5|20,simple,,200,2-6,251322,18.260239851664398,39.02125560038516
25000,True,cit_idx,50,1,10,5|20,simple,,200,3-6,250675,18.01057145706592,38.99910242345667
25000,True,cit_idx,50,1,10,5|20,simple,,200,4-6,249937,18.054949847361534,39.02183350204251
25000,True,cit_idx,50,1,10,5|20,simple,,200,5-6,248919,18.12236108935035,39.084601818262165
25000,True,cit_idx,50,1,10,5|20,simple,,200,6-6,253296,18.062661865959196,38.86914913776767
25000,True,cit_idx,50,1,10,5|20,letor,base,200,1-6,252950,25.57501482506424,53.055149238980036
25000,True,cit_idx,50,1,10,5|20,letor,base,200,2-6,251322,25.70248525795593,53.22415069114522
25000,True,cit_idx,50,1,10,5|20,letor,base,200,3-6,250675,25.58811209733719,53.256607160666206
25000,True,cit_idx,50,1,10,5|20,letor,base,200,4-6,249937,25.723282267131314,53.441467249746935
25000,True,cit_idx,50,1,10,5|20,letor,base,200,5-6,248919,25.67019793587472,53.552360406397256
25000,True,cit_idx,50,1,10,5|20,letor,base,200,6-6,253296,25.64430547659655,53.3308856041943
25000,True,cit_idx,50,1,10,5|20,letor,base|class,200,1-6,252950,28.70685906305594,59.31053567898794
25000,True,cit_idx,50,1,10,5|20,letor,base|class,200,2-6,251322,28.786576583028946,59.4858388839815
25000,True,cit_idx,50,1,10,5|20,letor,base|class,200,3-6,250675,28.7487782985938,59.39642963997207
25000,True,cit_idx,50,1,10,5|20,letor,base|class,200,4-6,249937,28.84846981439323,59.69424294922321
25000,True,cit_idx,50,1,10,5|20,letor,base|class,200,5-6,248919,28.718980873296136,59.68045830169654
25000,True,cit_idx,50,1,10,5|20,letor,base|class,200,6-6,253296,28.723706651506536,59.43639062598699
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,200,1-6,252950,29.271002174342755,60.60802530144297
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,200,2-6,251322,29.521092463055364,60.7137457126714
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,200,3-6,250675,29.489179216116483,60.67178617732123
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,200,4-6,249937,29.637868742923217,60.97456559052882
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,200,5-6,248919,29.521249884500577,61.018644619334
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,200,6-6,253296,29.497110100435854,60.728159939359486
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,1-6,252298,29.568209022663677,61.426566996171196
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,2-6,251251,29.741175159501854,61.36612391592471
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,3-6,251482,29.959201851424755,61.57856228278763
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,4-6,249754,29.962683280347864,61.75036235655885
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,5-6,251190,29.756359727696168,61.52036307177834
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,6-6,251124,29.66542425256049,61.35056784696007
