variable,index,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
case,f1-score,0.29316446265598806,0.29992867952754537,0.2956019439304059,0.2915686003045826,0.28998139782088755,0.2992301529243738,0.2949125395272972,0.0037155660219684505
case,precision,0.48648496768755267,0.49313579681958586,0.49267842730312467,0.48826291079812206,0.4867372427738789,0.491053564282856,0.4897254849441867,0.002698257366158893
case,recall,0.20979546335789065,0.21549806274215724,0.21114268066707845,0.2078409118945992,0.20650500870530644,0.21517497056686957,0.21099284965565024,0.003398987388278609
case,support,41264.0,40005.0,40475.0,40531.0,39631.0,39921.0,40304.5,530.9405961750022
code,f1-score,0.39622545528538006,0.39858784260863983,0.397306573741714,0.39339315905839506,0.39932543728919917,0.40007315862357273,0.3974852711011501,0.0022234915097608904
code,precision,0.2970746405278615,0.2983032608904518,0.2995535537908419,0.29522917154681033,0.30113569147048386,0.30129277267271404,0.2987648484831939,0.0021681109549241376
code,recall,0.5947163472550966,0.600448673319409,0.5897635345364033,0.5893539085028446,0.5925279329608939,0.5952186588921283,0.5936715092444625,0.003755818166495678
code,support,26194.0,25854.0,25712.0,25662.0,25776.0,25725.0,25820.5,177.30364726461025
reg,f1-score,0.4674796255706657,0.4652330834658388,0.4717100137275999,0.46820637359369577,0.4723408998030984,0.47130473770736814,0.46937912231137774,0.002584770811550959
reg,precision,0.4837351511202446,0.48778745137473867,0.482333898176484,0.48186687069625095,0.48510670770483044,0.4875038647840874,0.484722323976106,0.0023134544001091836
reg,recall,0.45228108817395785,0.44467227944901455,0.46154404646660213,0.4552990505566533,0.46022974081760704,0.45614754098360655,0.45502895774124014,0.005562227921634414
reg,support,42677.0,41453.0,41320.0,41498.0,41438.0,41480.0,41644.333333333336,465.3302292160077
all,f1-macro,0.3856231811706779,0.38791653520067465,0.3882061771332399,0.3843893776522245,0.38721591163772834,0.39020268308510486,0.3872589776466084,0.0018666931292428135
